;0;1;2;3;4;5
0;Advogado;Você tem interesse em atuar de forma estratégica, fazendo a gestão de ações jurídicas de grande relevância e impacto para o Banco? Sabe tudo (ou quase) de Direito Bancário e tem OAB? Dá uma conferida nessa oportunidade \o/ Quais são as responsabilidades? Fazer a gestão dos escritórios parceiros, visando a condução estratégica dos processos, controle das provisões, riscos das ações e reporte ...;Grupo BMG;São Paulo;26/11/2020;https://www.vagas.com.br/vagas/v2116817/advogado-sr
1;Advogado;"Atividades Análise e elaboração de instrumentos contratuais (contrato, distratos e aditivos) de baixa e média complexidade; Análise e elaboração de instrumentos atos societários das empresas do grupo;   Elaboração de pareceres relacionados às contratações, em qualquer fase (antes, durante ou depois da contratação); Elaboração de procurações; Contato direto com o despachante responsável p...";UNICID;São Paulo;25/11/2020;https://www.vagas.com.br/vagas/v2133983/advogado
2;Advogado;Descrição: Descrição Atividades: Assessorar o Grupo nas questões de natureza jurídica referentes a questões civil e societárias, bem como elaborando acordos, contratos diversos e transações comerciais, nas referidas áreas. Atender às consultas, emitindo pareceres e/ou relatórios, visando a melhor orientação à assistência jurídica preventiva. Analisar e elaborar os contratos e aditi...;Confidencial;Rio de Janeiro;01/12/2020;https://www.vagas.com.br/vagas/v2136282/advogado
3;Advogado;Experiência sólida como advogado corporativo ou como advogado com foco em Direito Público/Administrativo;Grupo Ecorodovias;Minas Gerais;26/11/2020;https://www.vagas.com.br/vagas/v2134644/advogado-a-pleno
4;Advogado;"Atuação na área de contratos e societário   Responsabilidades:  Cuidar dos aspectos jurídicos das diferentes empresas que fazem parte do grupo, o que inclui atos de rotina, como, por exemplo, aprovação de contas, eleições, renúncias, dentre outros; Elaborar novos contratos e também fazer a gestão daqueles já estabelecidos para áreas corporativas específicas; Manter o quadro de informaçõe...";brtalent;São Paulo;04/11/2020;https://www.vagas.com.br/vagas/v2125064/advogado-junior
5;Advogado;"Descrição: Atividades a serem realizadas :Elaboração e revisão de instrumentos contratuais ;Elaboração de pareceres jurídicos ;Revisão de condições gerais de produtos SUSEP ;Consultivo regulatório ;Atuação em processos administrativos SUSEP .....................................................................................................Idiomas:Inglês - Nível AvançadoOutros requisitos: OAB a...";Allianz Seguros;Rio de Janeiro;04/12/2020;https://www.vagas.com.br/vagas/v2138180/advogado-i
6;Advogado;Experiência com contratos, no ramo mobiliário será um diferencial. Superior completo – OAB Ativo Principais atividades: Colaborar ativamente para o regular funcionamento da área de contratos. Realizar pesquisas reputacionais, elaborações de contratos das mais diversas áreas de negócio da empresa Controlar os prazos externos e internos, atendendo as áreas clientes da forma mais rápida e efi...;Jobcenter;São Paulo;07/12/2020;https://www.vagas.com.br/vagas/v2138897/advogado-pleno
7;Advogado;Descrição: Buscamos Advogado Jr para atuar em empresa de auditoria e consultoria em São Paulo. ;Randstad;São Paulo;07/12/2020;https://www.vagas.com.br/vagas/v2139074/advogado-jr
8;Advogado;Descrição: Somos uma empresa do ramo de Assessoria Contábil e temos como missão proporcionar a melhor e mais completa experiência contábil, tributária, trabalhista e empresarial.  Trabalhando conosco você será parte de um time que têm por objetivo transformar a vida das pessoas que confiam suas empresas aos nossos cuidados, por meio de um serviço sério, seguro e eficaz.Responsabilidades e Atr...;Confidencial;Rio de Janeiro;Ontem;https://www.vagas.com.br/vagas/v2141662/advogado
9;Advogado;"Foco em contratos. Descrição: Análise e elaboração de contratos, distratos, aditivos (cíveis, comerciais, financeiros, locação, serviços, compra e venda etc.); Apoiar área interna da empresa em negociações com fornecedores; Elaborar pareceres a respeito de dúvidas relacionadas às contratações, em qualquer fase (antes, durante ou depois da contratação); Elaborar notificações sobre temas r...";Confidencial;São Paulo;Ontem;https://www.vagas.com.br/vagas/v2119159/advogado-pl
