Nome do Jogo;Preco Original;Preco Promocional;Informacoes;Tempo Medio de Jogo
KeyForge: O Chamado dos Arcontes (Deck Display);719.88;359.88;"<p>Do mesmo criador do fen&ocirc;meno Magic The Gathering, KeyForge &eacute; uma aventura de cards para dois participantes onde cada um assume o papel de um Arconte e comanda seu deck contra o oponente. O deck de um participante representa uma fac&ccedil;&otilde;es aliadas que est&aacute; tentando obter &AElig;mber para forjar chaves. O primeiro que forjar tr&ecirc;s chaves vence o duelo.</p>

<p>A caracter&iacute;stica mais marcante de KeyForge &eacute; que n&atilde;o existem dois decks iguais. Em vez disso, cada um j&aacute; &eacute; aleatoriamente gerado, customizado e pronto para usar. Cada deck existente &eacute; &uacute;nico!</p>

<p>Conhe&ccedil;a a primeira cole&ccedil;&atilde;o de KeyForge em O Chamado dos Arcontes! O display conta com 12 decks de Arcontes exclusivos.</p>";30-60 min
KeyForge: Era da Ascensão (Deck Display);719.88;359.88;"<p>Do mesmo criador do fen&ocirc;meno Magic The Gathering, KeyForge &eacute; uma aventura de cards para dois participantes onde cada um assume o papel de um Arconte e comanda seu deck contra o oponente. O deck de um participante representa uma fac&ccedil;&otilde;es aliadas que est&aacute; tentando obter &AElig;mber para forjar chaves. O primeiro que forjar tr&ecirc;s chaves vence o duelo.</p>

<p>A caracter&iacute;stica mais marcante de KeyForge &eacute; que n&atilde;o existem dois decks iguais. Em vez disso, cada um j&aacute; &eacute; aleatoriamente gerado, customizado e pronto para usar. Cada deck existente &eacute; &uacute;nico!</p>

<p>O deck display do&nbsp;Key Forge: Era da Ascens&atilde;o oferece doze decks exclusivos para diversificar ainda mais os confrontos e aventuras no universo do Caldeir&atilde;o. Experimente todas as novidades da segunda cole&ccedil;&atilde;o de KeyForge, com cartas in&eacute;ditas, novas a&ccedil;&otilde;es, criaturas e artefatos para tornarem a disputa pelo preciso&nbsp;&AElig;mber ainda mais imprevis&iacute;vel.</p>";30 min
Star Wars X-Wing (1.0): HWK-290 (Expansão);69.99;28.0;;30-60 min
Star Wars X-Wing (1.0): M3-A Interceptor (Expansão);69.99;28.0;;30-60 min
Star Wars X-Wing (1.0): Caça Kihraxz (Expansão);69.99;28.0;;30-60 min
Star Wars X-Wing (1.0): Tie Punisher (Expansão);99.99;35.0;;30-60 min
Pacote de Dados X Wing;39.99;10.0;;30-60 min
Star Wars X-Wing (1.0): Transporte YT-2400 (Expansão);129.9;23.0;;30-60 min
Star Wars X-Wing (1.0): TIE Fighter (Expansão);69.99;28.0;;30-60 min
Star Wars X-Wing (1.0): U-Wing (Expansão);129.99;26.0;;30-60 min
Star Wars X-Wing (1.0): Quadjumper (Expansão);69.99;28.0;;30-60 min
Star Wars X-Wing (1.0): K Wing (Expansão);99.99;35.0;;30-60 min
Star Wars X-Wing (1.0): Hounds Tooth (Expansão);159.99;32.0;;30-60 min
Star Wars X-Wing (1.0): IG-2000 (Expansão);129.99;45.5;;30-60 min
Star Wars X-Wing (1.0): StarViper (Expansão);99.99;35.0;;30-60 min
